"GEO_ID","NAME","B19013_001E","B19013_001EA","B19013_001M","B19013_001MA",
"310M600US19700","Deming, NM Micro Area","33914","null","3606","null",
"310M600US19740","Denver-Aurora-Lakewood, CO Metro Area","88512","null","643","null",
"310M600US19760","DeRidder, LA Micro Area","57130","null","4205","null",
"310M600US19780","Des Moines-West Des Moines, IA Metro Area","75134","null","1046","null",
"310M600US19820","Detroit-Warren-Dearborn, MI Metro Area","66878","null","416","null",
"310M600US19860","Dickinson, ND Micro Area","70391","null","3061","null",
"310M600US19940","Dixon, IL Micro Area","62250","null","2685","null",
"310M600US19980","Dodge City, KS Micro Area","59578","null","7502","null",
"310M600US20020","Dothan, AL Metro Area","49336","null","1324","null",
"310M600US20060","Douglas, GA Micro Area","43614","null","1983","null",
"310M600US20100","Dover, DE Metro Area","63715","null","1759","null",
"310M600US20140","Dublin, GA Micro Area","42382","null","1964","null",
"310M600US20180","DuBois, PA Micro Area","52826","null","1729","null",
"310M600US20220","Dubuque, IA Metro Area","68198","null","2351","null",
"310M600US20260","Duluth, MN-WI Metro Area","62184","null","1146","null",
"310M600US20300","Dumas, TX Micro Area","55543","null","3786","null",
"310M600US20340","Duncan, OK Micro Area","53470","null","2321","null",
"310M600US20420","Durango, CO Micro Area","75089","null","3486","null",
"310M600US20460","Durant, OK Micro Area","49225","null","3493","null",
"310M600US20500","Durham-Chapel Hill, NC Metro Area","68913","null","1650","null",
"310M600US20540","Dyersburg, TN Micro Area","50245","null","4301","null",
"310M600US20580","Eagle Pass, TX Micro Area","44502","null","6144","null",
"310M600US20660","Easton, MD Micro Area","79349","null","4240","null",
"310M600US20700","East Stroudsburg, PA Metro Area","72679","null","2655","null",
"310M600US20740","Eau Claire, WI Metro Area","64112","null","1221","null",
"310M600US20780","Edwards, CO Micro Area","91338","null","4058","null",
"310M600US20820","Effingham, IL Micro Area","65590","null","2935","null",
"310M600US20900","El Campo, TX Micro Area","53963","null","3180","null",
"310M600US20940","El Centro, CA Metro Area","49078","null","2530","null",
"310M600US20980","El Dorado, AR Micro Area","46444","null","3923","null",
"310M600US21020","Elizabeth City, NC Micro Area","54867","null","2957","null",
"310M600US21060","Elizabethtown-Fort Knox, KY Metro Area","59781","null","2366","null",
"310M600US21120","Elk City, OK Micro Area","50365","null","7231","null",
"310M600US21140","Elkhart-Goshen, IN Metro Area","61182","null","1636","null",
"310M600US21180","Elkins, WV Micro Area","47343","null","4669","null",
"310M600US21220","Elko, NV Micro Area","82199","null","4590","null",
"310M600US21260","Ellensburg, WA Micro Area","64134","null","3881","null",
"310M600US21300","Elmira, NY Metro Area","58175","null","2144","null",
"310M600US21340","El Paso, TX Metro Area","50849","null","911","null",
"310M600US21380","Emporia, KS Micro Area","52274","null","2262","null",
"310M600US21420","Enid, OK Metro Area","60732","null","2693","null",
"310M600US21460","Enterprise, AL Micro Area","59034","null","3382","null",
"310M600US21500","Erie, PA Metro Area","55949","null","1261","null",
"310M600US21540","Escanaba, MI Micro Area","51117","null","3339","null",
"310M600US21580","Española, NM Micro Area","46994","null","3543","null",
"310M600US21640","Eufaula, AL-GA Micro Area","35907","null","2876","null",
"310M600US21660","Eugene-Springfield, OR Metro Area","59016","null","1426","null",
"310M600US21700","Eureka-Arcata, CA Micro Area","53350","null","2424","null",
"310M600US21740","Evanston, WY Micro Area","75106","null","5621","null",
"310M600US21780","Evansville, IN-KY Metro Area","59134","null","1205","null",
"310M600US21820","Fairbanks, AK Metro Area","78321","null","3174","null",
"310M600US21840","Fairfield, IA Micro Area","47950","null","4468","null",
"310M600US21860","Fairmont, MN Micro Area","57002","null","6884","null",
"310M600US21900","Fairmont, WV Micro Area","55094","null","2250","null",
"310M600US21980","Fallon, NV Micro Area","61776","null","5837","null",
"310M600US22020","Fargo, ND-MN Metro Area","68560","null","1529","null",
"310M600US22060","Faribault-Northfield, MN Micro Area","71384","null","2504","null",
"310M600US22100","Farmington, MO Micro Area","50015","null","2863","null",
"310M600US22140","Farmington, NM Metro Area","47485","null","2423","null",
"310M600US22180","Fayetteville, NC Metro Area","52835","null","849","null",
"310M600US22220","Fayetteville-Springdale-Rogers, AR Metro Area","66565","null","1273","null",
"310M600US22260","Fergus Falls, MN Micro Area","63587","null","1670","null",
"310M600US22280","Fernley, NV Micro Area","63952","null","2668","null",
"310M600US22300","Findlay, OH Micro Area","60828","null","2404","null",
"310M600US22340","Fitzgerald, GA Micro Area","34455","null","4971","null",
"310M600US22380","Flagstaff, AZ Metro Area","61888","null","1657","null",
"310M600US22420","Flint, MI Metro Area","54052","null","1011","null",
"310M600US22500","Florence, SC Metro Area","48328","null","1771","null",
"310M600US22520","Florence-Muscle Shoals, AL Metro Area","50942","null","2128","null",
"310M600US22540","Fond du Lac, WI Metro Area","66390","null","2064","null",
"310M600US22580","Forest City, NC Micro Area","45500","null","2080","null",
"310M600US22620","Forrest City, AR Micro Area","34981","null","3619","null",
"310M600US22660","Fort Collins, CO Metro Area","80664","null","1574","null",
"310M600US22700","Fort Dodge, IA Micro Area","56934","null","2977","null",
"310M600US22780","Fort Leonard Wood, MO Micro Area","59252","null","3774","null",
"310M600US22800","Fort Madison-Keokuk, IA-IL-MO Micro Area","54594","null","1815","null",
"310M600US22820","Fort Morgan, CO Micro Area","62914","null","4401","null",
"310M600US22840","Fort Payne, AL Micro Area","44037","null","2276","null",
"310M600US22860","Fort Polk South, LA Micro Area","53215","null","1909","null",
"310M600US22900","Fort Smith, AR-OK Metro Area","48903","null","1766","null",
"310M600US23060","Fort Wayne, IN Metro Area","62031","null","1262","null",
"310M600US23140","Frankfort, IN Micro Area","55582","null","2678","null",
"310M600US23180","Frankfort, KY Micro Area","59631","null","3730","null",
"310M600US23240","Fredericksburg, TX Micro Area","64438","null","4849","null",
"310M600US23300","Freeport, IL Micro Area","53806","null","2269","null",
"310M600US23340","Fremont, NE Micro Area","60962","null","2999","null",
"310M600US23380","Fremont, OH Micro Area","56414","null","3412","null",
"310M600US23420","Fresno, CA Metro Area","61276","null","1031","null",
"310M600US23460","Gadsden, AL Metro Area","46984","null","1870","null",
"310M600US23500","Gaffney, SC Micro Area","41330","null","2439","null",
"310M600US23540","Gainesville, FL Metro Area","51755","null","1230","null",
"310M600US23580","Gainesville, GA Metro Area","67571","null","2999","null",
"310M600US23620","Gainesville, TX Micro Area","63338","null","4135","null",
"310M600US23660","Galesburg, IL Micro Area","45994","null","2559","null",
"310M600US23700","Gallup, NM Micro Area","40262","null","2816","null",
"310M600US23780","Garden City, KS Micro Area","61380","null","3824","null",
"310M600US23820","Gardnerville Ranchos, NV Micro Area","75688","null","3772","null",
"310M600US23860","Georgetown, SC Micro Area","55719","null","3290","null",
"310M600US23900","Gettysburg, PA Metro Area","72492","null","2312","null",
"310M600US23940","Gillette, WY Micro Area","83480","null","3406","null",
"310M600US23980","Glasgow, KY Micro Area","44017","null","1488","null",
"310M600US24020","Glens Falls, NY Metro Area","66325","null","1816","null",
"310M600US24060","Glenwood Springs, CO Micro Area","82890","null","3967","null",
"310M600US24100","Gloversville, NY Micro Area","55240","null","1769","null",
"310M600US24140","Goldsboro, NC Metro Area","49488","null","2114","null",
"310M600US24180","Granbury, TX Micro Area","75851","null","3403","null",
"310M600US24220","Grand Forks, ND-MN Metro Area","58338","null","2621","null",
"310M600US24260","Grand Island, NE Metro Area","60622","null","1990","null",
"310M600US24300","Grand Junction, CO Metro Area","62127","null","2136","null",
"310M600US24330","Grand Rapids, MN Micro Area","58393","null","2539","null",
"310M600US24340","Grand Rapids-Kentwood, MI Metro Area","70347","null","763","null",
"310M600US24380","Grants, NM Micro Area","47300","null","9399","null",
"310M600US24420","Grants Pass, OR Metro Area","51733","null","3291","null",
"310M600US24460","Great Bend, KS Micro Area","50077","null","2391","null",
"310M600US24500","Great Falls, MT Metro Area","56377","null","2240","null",
"310M600US24540","Greeley, CO Metro Area","80843","null","1732","null",
"310M600US24580","Green Bay, WI Metro Area","68952","null","1193","null",
"310M600US24620","Greeneville, TN Micro Area","47361","null","3365","null",
"310M600US24660","Greensboro-High Point, NC Metro Area","55544","null","1098","null",
"310M600US24700","Greensburg, IN Micro Area","65000","null","3736","null",
"310M600US24740","Greenville, MS Micro Area","34399","null","1970","null",
"310M600US24780","Greenville, NC Metro Area","50422","null","2325","null",
"310M600US24820","Greenville, OH Micro Area","57440","null","2574","null",
"310M600US24860","Greenville-Anderson, SC Metro Area","60544","null","1064","null",
"310M600US24900","Greenwood, MS Micro Area","33429","null","3771","null",
"310M600US24940","Greenwood, SC Micro Area","44513","null","2263","null",
"310M600US24980","Grenada, MS Micro Area","40808","null","4147","null",
"310M600US25020","Guayama, PR Metro Area","17065","null","1132","null",
"310M600US25060","Gulfport-Biloxi, MS Metro Area","53528","null","1395","null",
"310M600US25100","Guymon, OK Micro Area","50781","null","4418","null",
"310M600US25180","Hagerstown-Martinsburg, MD-WV Metro Area","67192","null","1318","null",
"310M600US25200","Hailey, ID Micro Area","70866","null","6068","null",
"310M600US25220","Hammond, LA Metro Area","50659","null","3172","null",
"310M600US25260","Hanford-Corcoran, CA Metro Area","63267","null","1900","null",
"310M600US25300","Hannibal, MO Micro Area","57072","null","2858","null",
